,,,,,,,,Q8,Q11,Q13,Q14,Q15,Q17,Q18,Q20,Q21,Q22,Q23,Q24,Q26,Q27,Q28,Q29,Q30,Q32,Q33,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,,Random ID
Study,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,SC0,Exclude,Torus,Q11,Dumbbell,Pipe,Torus,Bowl,Octahedron,Sphere,Pentagon,Trig Prism,Cone,Pyramid,Torus,Dumbbell,Cone,Pipe,Trig Prism,Pentagon,Pyramid,Octahedron,Sphere,Bowl,Q38,Q39,Q40,Q41,Q42,Q43,,Random ID
,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Catch Score,,Do you want to drop this plastic torus on toy 1 or pentagon,Which toy did you just drop?,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Which toy did you just drop?,Which toy did you just drop?,Which toy did you just drop?,Which toy did you just drop?,Why did you make that choice?,Why did you make that choice?,,Random ID
1a,100,238,TRUE,4/4/20 11:05,R_3JyoUNfbSDABc94,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,octahedron,trig prism,dumbbell,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),I thought it would be cool to see if I could get it to cover the donut toy,I wanted to see if the pointy part would hit the hole and catch it.,,41887
1a,100,401,TRUE,4/4/20 11:07,R_1CvwRhMapUomBsC,4,,dumbbell,b),pipe,octahedron,dumbbell,trig prism,pipe,bowl,bowl,bowl,torus,torus,bowl,octahedron,sphere,torus,pentagon,pipe,sphere,pentagon,pipe,torus,c),b),a),a),to bounce and avoid sharp edge,the sphere will just roll,,28957
1a,100,222,TRUE,4/4/20 11:13,R_1dLEUALXTCXPYwg,4,,dumbbell,b),pipe,cone,cone,trig prism,sphere,bowl,sphere,bowl,torus,torus,bowl,octahedron,sphere,dumbbell,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),I thought maybe it may by accident make a different shape if it landed correctly.,I felt it may bounce further.,,40874
1a,100,2751,TRUE,4/4/20 11:51,R_3jfhjDRHGmo9KTg,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,octahedron,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),I wanted to see if the half dome would land on the donut and stay.,I wanted to see if when it was dropped would it fit in the center hole.,,17760
1a,100,586,TRUE,4/4/20 12:21,R_x6geSt6x2c7PZK1,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,dumbbell,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),because i thought it would be cool to see what it did,because maybe it would fit in the hole,,92888
1a,100,161,TRUE,4/4/20 16:44,R_2Qmr3gBwfUgdSlH,3,,dumbbell,b),pipe,cone,cone,trig prism,sphere,pentagon,bowl,bowl,torus,torus,bowl,octahedron,sphere,dumbbell,pentagon,pyramid,sphere,pyramid,cone,torus,c),c),a),a),"no specific reason, just want to see want would happen","to see what happens, cant think of anything deep as an answer.",,41523
1a,100,1988,TRUE,4/4/20 17:07,R_3M4OB4WgEY8KuIb,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,sphere,bowl,torus,torus,octahedron,pentagon,sphere,torus,cone,pyramid,sphere,pentagon,pipe,trig prism,c),b),a),a),I imagined in my mind which one would be most interesting,I like to see what would happen if it dropped in the whole,,96124
1a,100,265,TRUE,4/4/20 17:40,R_2TYsi9Jyy5kzQsY,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,octahedron,trig prism,torus,pentagon,pipe,trig prism,pyramid,pipe,torus,c),b),a),a),It seemed like it could be fun if you could drop it exactly on top to make it sit on top of the circle toy.,It seemed like it could be fun to drop the square parts into the opening on the toy on the ground.,,80175
