,,,,,,,,Q8,Q11,Q13,Q14,Q15,Q17,Q18,Q20,Q21,Q22,Q23,Q24,Q26,Q27,Q28,Q29,Q30,Q32,Q33,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,,Random ID
Study,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,SC0,Exclude,Torus,Q11,Dumbbell,Pipe,Torus,Bowl,Octahedron,Sphere,Pentagon,Trig Prism,Cone,Pyramid,Torus,Dumbbell,Cone,Pipe,Trig Prism,Pentagon,Pyramid,Octahedron,Sphere,Bowl,Q38- Catch,Q39- Catch,Q40- Catch,Q41- Catch,Q42,Q43,,Random ID
Study,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Catch Score,Exclude,Do you want to drop this plastic torus on toy 1 or pentagon,Which toy did you just drop?,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Do you want to drop this on:,Which toy did you just drop?,Which toy did you just drop?,Which toy did you just drop?,Which toy did you just drop?,Why did you make that choice?,Why did you make that choice?,,Random ID
1a,100,168,TRUE,1/13/21 12:57,R_2PA16tIb5ybNLiF,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),I feel like the pointy part could fall into the hole,I feel like the toy could land on top and stay there,,44111
1a,100,137,TRUE,1/13/21 12:58,R_2veOE1uwIfS3rH5,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,trig prism,pyramid,pipe,torus,c),b),a),a),I just felt like it would fit better if it fell in the hole.,I felt like it would land on it smoother.,,18267
1a,100,214,TRUE,1/13/21 13:00,R_2414NeXHy99nFxH,3,,dumbbell,b),pipe,cone,dumbbell,trig prism,pipe,bowl,sphere,dumbbell,torus,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,trig prism,pyramid,pipe,torus,a),b),a),a),see the reaction hitting the donut shape object,see reaction it might bounce off,,58227
1a,100,306,TRUE,1/13/21 13:00,R_24dQtlVNdUXTiMU,4,,pentagon,b),pipe,cone,cone,pyramid,sphere,bowl,bowl,dumbbell,torus,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,trig prism,pyramid,pipe,torus,c),b),a),a),The two toys seem to go together.,It would balance well on my choice.,,91358
1a,100,288,TRUE,1/13/21 13:00,R_2ALS2DcXIs0NJSJ,1,Y,pentagon,b),pyramid,octahedron,dumbbell,trig prism,sphere,bowl,sphere,bowl,torus,torus,bowl,pentagon,sphere,dumbbell,cone,pipe,sphere,pentagon,cone,trig prism,c),c),c),c),just of my understanding,Just of my opinion,,72365
1a,100,273,TRUE,1/13/21 13:01,R_2AXxWd9gKtbktmw,4,,dumbbell,b),pipe,octahedron,cone,trig prism,pipe,bowl,sphere,bowl,octahedron,dumbbell,octahedron,octahedron,sphere,dumbbell,cone,pyramid,trig prism,pyramid,cone,trig prism,c),b),a),a),I wanted to see what would happen when it hit the other object.,I wanted to see what would happen when it hit the other object.,,86412
1a,100,293,TRUE,1/13/21 13:03,R_vPOb3bTqdm9Ku9H,1,Y,dumbbell,b),pyramid,octahedron,cone,trig prism,pipe,bowl,sphere,dumbbell,torus,dumbbell,octahedron,octahedron,trig prism,torus,cone,pipe,trig prism,pentagon,pipe,torus,b),b),b),b),my opinion,Like,,65300
1a,100,515,TRUE,1/13/21 13:03,R_BVccJfP3dLMi7gB,1,Y,pentagon,b),pipe,octahedron,dumbbell,pyramid,sphere,bowl,sphere,bowl,torus,torus,octahedron,octahedron,trig prism,torus,cone,pipe,sphere,pentagon,pipe,torus,b),b),b),b),Nothing.,Nothing.,,47471
