ID,subject,Exclude,Note,Age,Version,Torus0,Dumbbell,Pipe,Torus,Bowl,Octahedron,Sphere,Pentagon,Trig Prism,Cone,Pyramid,Torus,Dumbbell,Cone,Pipe,Trig Prism,Pentagon,Pyramid,Octahedron,Sphere,Bowl,Qual1,Qual2,Comments
1,070920_01,,,7,1a,Toy 2:,pyramid,octahedron,dumbbell,trig prism,sphere,bowl,sphere,dumbbell,octahedron,dumbbell,bowl,octahedron,sphere,dumbbell,cone,pyramid,sphere,pyramid,cone,trig prism,,,
2,071120_01,,,6,1a,Toy 2:,pipe,cone,cone,pyramid,sphere,bowl,bowl,bowl,octahedron,dumbbell,octahedron,octahedron,trig prism,torus,pentagon,pipe,trig prism,pyramid,cone,trig prism,,,
3,071620_01,Y,incomplete <0.5,3,1a,Toy 2:,,cone,,,,,,,octahedron,dumbbell,bowl,pentagon,,,pentagon,,,,pipe,torus,,,
4,072410_01,,,3,1a,Toy 1:,pyramid,cone,cone,pyramid,pipe,bowl,sphere,bowl,octahedron,torus,octahedron,octahedron,sphere,dumbbell,pentagon,pyramid,trig prism,pyramid,pipe,torus,Why 37: NA,Why 18: it's a circle,
5,070920_02,,,3,1b,Toy 2:,pyramid,cone,dumbbell,trig prism,pipe,bowl,bowl,dumbbell,torus,torus,bowl,pentagon,trig prism,torus,cone,pipe,sphere,pentagon,cone,torus,,,
6,071320_01,,,5,1b,Toy 2:,pipe,cone,cone,pyramid,pipe,pentagon,bowl,dumbbell,octahedron,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,sphere,pentagon,cone,torus,,,
7,071620_02,,,6,1b,Toy 2:,pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,dumbbell,bowl,pentagon,trig prism,torus,pentagon,pyramid,trig prism,pentagon,pipe,torus,,,
8,080220_01,,,5,1b,Toy 2:,pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,dumbbell,pentagon,pipe,sphere,pyramid,pipe,torus,Why 18: because the triangle [of octahedron] fits in the circle,Why 26: because it's a circle and this is like circle too,
9,071020_01,,,3,2a,Toy 1:,pipe,cone,cone,pyramid,sphere,pentagon,bowl,dumbbell,torus,dumbbell,bowl,pentagon,trig prism,dumbbell,pentagon,pyramid,trig prism,pentagon,pipe,torus,,,
10,071420_01,,,4,2a,Toy 1:,pyramid,octahedron,dumbbell,pyramid,sphere,bowl,sphere,dumbbell,torus,torus,octahedron,octahedron,sphere,torus,pentagon,pipe,sphere,pyramid,cone,torus,,,
11,071720_01,Y,incomplete <0.5,3,2a,Toy 2:,,,,,pipe,bowl,,dumbbell,,,bowl,pentagon,sphere,,,,sphere,,,torus,NA,,
12,080220_02,,,4,2a,Toy 1:,pipe,cone,dumbbell,pyramid,pipe,bowl,bowl,dumbbell,torus,torus,bowl,pentagon,sphere,torus,cone,pipe,sphere,pyramid,pipe,torus,Why 33: it [sphere] reminds me of my ball,"Why 24: the was a box on the stairs, and looks like things inside it",
13,070920_03,Y,,3,2b,Toy 1:,pyramid,cone,dumbbell,trig prism,sphere,bowl,sphere,dumbbell,octahedron,dumbbell,bowl,octahedron,trig prism,dumbbell,pentagon,pipe,sphere,pentagon,cone,torus,,,Conducted in English-Spanish
14,071520_01,,,3,2b,Toy 2:,pyramid,octahedron,cone,pyramid,sphere,bowl,sphere,dumbbell,octahedron,dumbbell,octahedron,octahedron,sphere,torus,pentagon,pipe,trig prism,pentagon,cone,torus,,,
15,072020_01,,,7,2b,Toy 2:,pipe,octahedron,cone,pyramid,sphere,bowl,bowl,bowl,torus,torus,octahedron,octahedron,sphere,dumbbell,cone,pyramid,trig prism,pentagon,pipe,torus,"Why 24: it's kinda shaped like a donut, and it has the hole in the middle. and if you drop that [pyramid] upside down the point could go inside the hole",Why 27: it's [octahedron] side ways and that [dumbbell] can roll down it and i think that's kinda cool,
16,080320_01,,,6,2b,Toy 1:,pipe,octahedron,cone,pyramid,sphere,bowl,bowl,bowl,torus,torus,bowl,octahedron,sphere,torus,cone,pyramid,sphere,pyramid,pipe,torus,Why 24: NA,"Why 27: because i think the thing [dumbbell] will balance on it [octahedron], and that's cool",external monitor used
17,080720_01,,video position,3,1a,Toy 1:,pyramid,cone,dumbbell,pyramid,sphere,pentagon,sphere,dumbbell,octahedron,torus,bowl,octahedron,sphere,dumbbell,cone,pyramid,sphere,pentagon,pipe,trig prism,Why 37: NA,Why 18: NA,video not in bottom center of display - iPad
18,081020_01,,,5,1b,Toy 1:,pipe,cone,cone,,pipe,bowl,bowl,bowl,torus,torus,octahedron,pentagon,trig prism,torus,pentagon,pipe,trig prism,pentagon,cone,torus,Why 18: because it got the hole in it,Why 26: because it has that part that's facing up,"Q17 unclear said ""triangle"""
